team1,team2,venue,day,hour
Besiktas JK,Valencia CF,Red Bull Arena,1,12
Lazio SS,Juventus Turin,Estadi Mallorca Son Moix,1,15
Inter Milan,Juventus Turin,Estadi Mallorca Son Moix,2,11
Olympiacos FC,Real Madrid CF,Estadi Mallorca Son Moix,4,15
Inter Milan,Valencia CF,Estadi Mallorca Son Moix,6,10
Lazio SS,Arsenal FC,Red Bull Arena,6,18
Real Madrid CF,Inter Milan,Estadi Mallorca Son Moix,7,14
Besiktas JK,FC Spartak Moscow,Red Bull Arena,7,17
Juventus Turin,Valencia CF,Estadio do Dragão,8,9
Olympiacos FC,Lazio SS,Estadi Mallorca Son Moix,8,11
Real Madrid CF,RB Leipzig,Estadi Mallorca Son Moix,8,11
Arsenal FC,Real Madrid CF,Estadi Mallorca Son Moix,9,15
Arsenal FC,Juventus Turin,Red Bull Arena,10,18
Besiktas JK,Arsenal FC,Estadi Mallorca Son Moix,11,10
Juventus Turin,RB Leipzig,Estadi Mallorca Son Moix,11,13
Arsenal FC,FC Spartak Moscow,Estadio do Dragão,12,10
Lazio SS,Inter Milan,Estadio do Dragão,12,12
Olympiacos FC,Inter Milan,Estadio do Dragão,12,17
Olympiacos FC,Juventus Turin,Estadi Mallorca Son Moix,13,21
FC Spartak Moscow,RB Leipzig,Estadio do Dragão,14,8
Real Madrid CF,Valencia CF,Red Bull Arena,14,11
Olympiacos FC,Arsenal FC,Estadi Mallorca Son Moix,15,15
Besiktas JK,Juventus Turin,Estadio do Dragão,15,19
Besiktas JK,Inter Milan,Estadio do Dragão,16,12
Juventus Turin,FC Spartak Moscow,Red Bull Arena,17,10
Arsenal FC,Valencia CF,Estadio do Dragão,17,15
Inter Milan,RB Leipzig,Estadio do Dragão,17,15
Real Madrid CF,FC Spartak Moscow,Estadi Mallorca Son Moix,18,17
Arsenal FC,Inter Milan,Estadio do Dragão,19,20
Lazio SS,FC Spartak Moscow,Red Bull Arena,20,13
Olympiacos FC,Valencia CF,Red Bull Arena,20,15
Arsenal FC,RB Leipzig,Estadio do Dragão,20,16
Besiktas JK,Real Madrid CF,Estadio do Dragão,21,20
RB Leipzig,Valencia CF,Estadi Mallorca Son Moix,22,11
Olympiacos FC,FC Spartak Moscow,Red Bull Arena,23,11
Lazio SS,RB Leipzig,Estadio do Dragão,23,11
Besiktas JK,Lazio SS,Estadio do Dragão,25,19
Inter Milan,FC Spartak Moscow,Estadio do Dragão,26,15
Lazio SS,Real Madrid CF,Estadi Mallorca Son Moix,26,17
Besiktas JK,RB Leipzig,Estadio do Dragão,26,18
FC Spartak Moscow,Valencia CF,Estadio do Dragão,27,21
Real Madrid CF,Juventus Turin,Red Bull Arena,28,8
Lazio SS,Valencia CF,Red Bull Arena,28,8
Olympiacos FC,RB Leipzig,Estadio do Dragão,28,10
Olympiacos FC,Besiktas JK,Estadio do Dragão,30,14
