Team 1,Team 2,Venue,Day,Hour
Everton FC,Olympiacos FC,Tottenham Hotspur Stadium,1,18
West Ham United FC,Galatasaray SK,Stamford Bridge,2,10
Olympique Lyonnais,Olympiacos FC,Stamford Bridge,3,8
FC Spartak Moscow,Besiktas JK,Tottenham Hotspur Stadium,3,15
FC Shakhtar Donetsk,West Ham United FC,Stade Vélodrome,4,18
Everton FC,Galatasaray SK,Tottenham Hotspur Stadium,5,8
FC Shakhtar Donetsk,Bayer Leverkusen,Stade Vélodrome,6,8
Olympique Lyonnais,Everton FC,Stade Vélodrome,7,10
FC Spartak Moscow,Galatasaray SK,Stamford Bridge,8,8
Valencia CF,Bayer Leverkusen,Stamford Bridge,9,10
Everton FC,FC Spartak Moscow,Stamford Bridge,10,15
Olympique Lyonnais,Bayer Leverkusen,Stamford Bridge,11,8
Olympiacos FC,Galatasaray SK,Tottenham Hotspur Stadium,11,12
West Ham United FC,Bayer Leverkusen,Stade Vélodrome,12,9
Olympiacos FC,Besiktas JK,Stade Vélodrome,12,13
FC Shakhtar Donetsk,FC Spartak Moscow,Stamford Bridge,13,8
Valencia CF,Besiktas JK,Tottenham Hotspur Stadium,14,8
Galatasaray SK,Bayer Leverkusen,Stamford Bridge,14,10
FC Spartak Moscow,West Ham United FC,Stade Vélodrome,15,8
FC Shakhtar Donetsk,Valencia CF,Tottenham Hotspur Stadium,15,12
Olympique Lyonnais,Galatasaray SK,Stade Vélodrome,15,17
Everton FC,Bayer Leverkusen,Stamford Bridge,16,20
West Ham United FC,Besiktas JK,Tottenham Hotspur Stadium,17,19
Olympique Lyonnais,FC Shakhtar Donetsk,Stade Vélodrome,18,8
Galatasaray SK,Besiktas JK,Stamford Bridge,18,21
Olympiacos FC,Valencia CF,Stade Vélodrome,19,8
Everton FC,West Ham United FC,Stade Vélodrome,19,12
FC Shakhtar Donetsk,Besiktas JK,Stamford Bridge,20,19
Valencia CF,Galatasaray SK,Stade Vélodrome,21,14
Olympique Lyonnais,FC Spartak Moscow,Stade Vélodrome,21,21
Olympiacos FC,Bayer Leverkusen,Tottenham Hotspur Stadium,22,8
Everton FC,FC Shakhtar Donetsk,Stamford Bridge,23,8
Olympique Lyonnais,West Ham United FC,Stamford Bridge,24,10
Olympiacos FC,FC Spartak Moscow,Stade Vélodrome,24,19
Olympique Lyonnais,Valencia CF,Stade Vélodrome,26,8
Bayer Leverkusen,Besiktas JK,Stamford Bridge,26,17
Olympiacos FC,West Ham United FC,Tottenham Hotspur Stadium,27,8
Everton FC,Besiktas JK,Stamford Bridge,27,16
FC Spartak Moscow,Valencia CF,Stade Vélodrome,28,21
Everton FC,Valencia CF,Tottenham Hotspur Stadium,29,8
FC Shakhtar Donetsk,Olympiacos FC,Stade Vélodrome,29,11
Olympique Lyonnais,Besiktas JK,Stamford Bridge,30,8
Valencia CF,West Ham United FC,Tottenham Hotspur Stadium,30,13
FC Shakhtar Donetsk,Galatasaray SK,Stamford Bridge,30,17
FC Spartak Moscow,Bayer Leverkusen,Stade Vélodrome,30,19
