Team 1,Team 2,Venue,Day,Hour
Valencia CF,Galatasaray SK,Tottenham Hotspur Stadium,2,8
Olympiacos FC,West Ham United FC,Stamford Bridge,2,14
Olympique Lyonnais,Everton FC,Stamford Bridge,3,8
FC Spartak Moscow,Bayer Leverkusen,Tottenham Hotspur Stadium,3,12
FC Shakhtar Donetsk,West Ham United FC,Stade Vélodrome,5,8
Olympiacos FC,Bayer Leverkusen,Stamford Bridge,5,17
Olympiacos FC,Besiktas JK,Stade Vélodrome,7,8
Olympique Lyonnais,Valencia CF,Stamford Bridge,7,13
FC Spartak Moscow,West Ham United FC,Stade Vélodrome,8,8
FC Shakhtar Donetsk,Galatasaray SK,Stamford Bridge,8,12
Everton FC,Olympiacos FC,Stade Vélodrome,9,8
Bayer Leverkusen,Besiktas JK,Tottenham Hotspur Stadium,9,15
Valencia CF,West Ham United FC,Stamford Bridge,10,8
Olympique Lyonnais,FC Spartak Moscow,Stamford Bridge,10,15
Galatasaray SK,Besiktas JK,Stade Vélodrome,11,8
Everton FC,Valencia CF,Tottenham Hotspur Stadium,12,8
West Ham United FC,Bayer Leverkusen,Stade Vélodrome,12,8
FC Shakhtar Donetsk,Olympiacos FC,Tottenham Hotspur Stadium,13,8
Olympique Lyonnais,Besiktas JK,Stade Vélodrome,13,14
Everton FC,FC Spartak Moscow,Tottenham Hotspur Stadium,14,8
Valencia CF,Bayer Leverkusen,Stade Vélodrome,14,19
FC Shakhtar Donetsk,Besiktas JK,Tottenham Hotspur Stadium,15,8
Olympiacos FC,FC Spartak Moscow,Stade Vélodrome,16,8
Galatasaray SK,Bayer Leverkusen,Stamford Bridge,16,10
Everton FC,Besiktas JK,Tottenham Hotspur Stadium,17,14
FC Shakhtar Donetsk,Valencia CF,Stade Vélodrome,17,20
Olympique Lyonnais,West Ham United FC,Stamford Bridge,18,8
FC Spartak Moscow,Galatasaray SK,Tottenham Hotspur Stadium,18,12
Olympiacos FC,Valencia CF,Stade Vélodrome,19,12
FC Spartak Moscow,Besiktas JK,Stamford Bridge,20,10
West Ham United FC,Galatasaray SK,Tottenham Hotspur Stadium,20,14
Everton FC,FC Shakhtar Donetsk,Tottenham Hotspur Stadium,21,8
Olympique Lyonnais,Bayer Leverkusen,Tottenham Hotspur Stadium,21,21
FC Spartak Moscow,Valencia CF,Tottenham Hotspur Stadium,22,8
West Ham United FC,Besiktas JK,Stamford Bridge,22,11
Olympique Lyonnais,FC Shakhtar Donetsk,Stamford Bridge,23,8
Olympiacos FC,Galatasaray SK,Stade Vélodrome,23,12
FC Shakhtar Donetsk,Bayer Leverkusen,Stamford Bridge,25,8
Everton FC,West Ham United FC,Stade Vélodrome,25,12
Valencia CF,Besiktas JK,Stade Vélodrome,26,8
Olympique Lyonnais,Galatasaray SK,Tottenham Hotspur Stadium,26,10
Everton FC,Bayer Leverkusen,Stamford Bridge,27,10
FC Shakhtar Donetsk,FC Spartak Moscow,Stamford Bridge,27,20
Olympique Lyonnais,Olympiacos FC,Tottenham Hotspur Stadium,29,8
Everton FC,Galatasaray SK,Stamford Bridge,29,10
