Team 1,Team 2,Venue,Day,Hour
Olympiacos FC,West Ham United FC,Stade Vélodrome,1,8
FC Spartak Moscow,Valencia CF,Stade Vélodrome,1,16
Galatasaray SK,Bayer Leverkusen,Stade Vélodrome,2,10
Olympique Lyonnais,Besiktas JK,Stamford Bridge,2,20
FC Spartak Moscow,Galatasaray SK,Stade Vélodrome,4,10
Olympique Lyonnais,West Ham United FC,Tottenham Hotspur Stadium,4,15
Everton FC,Bayer Leverkusen,Stamford Bridge,6,15
Galatasaray SK,Besiktas JK,Stamford Bridge,6,21
Olympiacos FC,FC Spartak Moscow,Tottenham Hotspur Stadium,7,18
Valencia CF,West Ham United FC,Stade Vélodrome,7,19
FC Shakhtar Donetsk,Besiktas JK,Stamford Bridge,8,8
Olympique Lyonnais,Galatasaray SK,Stade Vélodrome,8,12
Everton FC,Besiktas JK,Stade Vélodrome,10,8
Olympique Lyonnais,Valencia CF,Tottenham Hotspur Stadium,10,11
FC Shakhtar Donetsk,West Ham United FC,Tottenham Hotspur Stadium,11,14
FC Spartak Moscow,Bayer Leverkusen,Stade Vélodrome,11,20
Everton FC,Valencia CF,Stade Vélodrome,12,10
Olympiacos FC,Galatasaray SK,Tottenham Hotspur Stadium,12,15
Olympique Lyonnais,FC Shakhtar Donetsk,Stamford Bridge,13,8
Bayer Leverkusen,Besiktas JK,Tottenham Hotspur Stadium,13,11
Everton FC,Olympiacos FC,Tottenham Hotspur Stadium,14,10
Valencia CF,Galatasaray SK,Stamford Bridge,14,10
Olympique Lyonnais,Bayer Leverkusen,Stamford Bridge,15,8
FC Spartak Moscow,West Ham United FC,Stamford Bridge,15,15
Everton FC,FC Shakhtar Donetsk,Tottenham Hotspur Stadium,16,19
FC Shakhtar Donetsk,Galatasaray SK,Stamford Bridge,18,8
Everton FC,West Ham United FC,Tottenham Hotspur Stadium,18,15
FC Shakhtar Donetsk,FC Spartak Moscow,Stamford Bridge,20,8
Olympiacos FC,Valencia CF,Stamford Bridge,20,13
Everton FC,Galatasaray SK,Stade Vélodrome,21,8
West Ham United FC,Bayer Leverkusen,Stamford Bridge,21,13
Olympique Lyonnais,Olympiacos FC,Stade Vélodrome,22,8
Valencia CF,Besiktas JK,Stamford Bridge,22,11
FC Shakhtar Donetsk,Bayer Leverkusen,Stamford Bridge,23,8
FC Spartak Moscow,Besiktas JK,Tottenham Hotspur Stadium,24,8
Olympiacos FC,Bayer Leverkusen,Stade Vélodrome,25,8
FC Shakhtar Donetsk,Valencia CF,Stamford Bridge,25,17
Olympique Lyonnais,Everton FC,Stade Vélodrome,26,8
West Ham United FC,Besiktas JK,Tottenham Hotspur Stadium,26,14
FC Shakhtar Donetsk,Olympiacos FC,Stamford Bridge,28,8
Everton FC,FC Spartak Moscow,Stade Vélodrome,28,10
Valencia CF,Bayer Leverkusen,Tottenham Hotspur Stadium,29,12
West Ham United FC,Galatasaray SK,Stade Vélodrome,29,14
Olympiacos FC,Besiktas JK,Stamford Bridge,30,10
Olympique Lyonnais,FC Spartak Moscow,Tottenham Hotspur Stadium,30,12
