Team 1,Team 2,Venue,Day,Hour
FC Shakhtar Donetsk,Galatasaray SK,Tottenham Hotspur Stadium,2,8
Olympique Lyonnais,West Ham United FC,Stamford Bridge,2,10
Olympiacos FC,Galatasaray SK,Stamford Bridge,3,8
Everton FC,Valencia CF,Tottenham Hotspur Stadium,3,10
FC Spartak Moscow,Valencia CF,Stade Vélodrome,4,14
Olympiacos FC,Besiktas JK,Stade Vélodrome,6,8
FC Shakhtar Donetsk,West Ham United FC,Tottenham Hotspur Stadium,7,8
Olympique Lyonnais,Galatasaray SK,Stamford Bridge,7,12
FC Spartak Moscow,Bayer Leverkusen,Stamford Bridge,8,10
Everton FC,West Ham United FC,Stamford Bridge,9,8
Olympique Lyonnais,Olympiacos FC,Stade Vélodrome,9,10
Everton FC,FC Spartak Moscow,Stamford Bridge,11,9
West Ham United FC,Bayer Leverkusen,Stade Vélodrome,11,10
Olympique Lyonnais,FC Spartak Moscow,Tottenham Hotspur Stadium,13,10
Galatasaray SK,Besiktas JK,Stade Vélodrome,13,10
Everton FC,Bayer Leverkusen,Tottenham Hotspur Stadium,13,14
Valencia CF,Bayer Leverkusen,Stamford Bridge,15,8
FC Shakhtar Donetsk,Olympiacos FC,Stamford Bridge,15,10
FC Spartak Moscow,West Ham United FC,Stade Vélodrome,15,12
Olympique Lyonnais,Besiktas JK,Stade Vélodrome,16,8
Valencia CF,Galatasaray SK,Stade Vélodrome,17,8
Olympiacos FC,West Ham United FC,Stamford Bridge,17,8
Olympique Lyonnais,Bayer Leverkusen,Tottenham Hotspur Stadium,18,8
Everton FC,FC Shakhtar Donetsk,Stamford Bridge,18,15
Olympiacos FC,Valencia CF,Tottenham Hotspur Stadium,19,8
FC Shakhtar Donetsk,Bayer Leverkusen,Stamford Bridge,20,8
FC Spartak Moscow,Besiktas JK,Tottenham Hotspur Stadium,20,10
Olympique Lyonnais,Valencia CF,Stade Vélodrome,21,8
West Ham United FC,Galatasaray SK,Stamford Bridge,21,10
Everton FC,Besiktas JK,Tottenham Hotspur Stadium,21,10
Valencia CF,West Ham United FC,Stamford Bridge,23,8
Olympiacos FC,FC Spartak Moscow,Stade Vélodrome,23,8
Bayer Leverkusen,Besiktas JK,Stamford Bridge,24,8
FC Shakhtar Donetsk,Valencia CF,Stade Vélodrome,24,17
Galatasaray SK,Bayer Leverkusen,Stamford Bridge,26,8
Everton FC,Olympiacos FC,Tottenham Hotspur Stadium,26,8
West Ham United FC,Besiktas JK,Stade Vélodrome,26,10
Olympique Lyonnais,FC Shakhtar Donetsk,Stade Vélodrome,26,17
FC Shakhtar Donetsk,FC Spartak Moscow,Stamford Bridge,27,8
Everton FC,Galatasaray SK,Stade Vélodrome,28,8
Valencia CF,Besiktas JK,Tottenham Hotspur Stadium,28,10
Olympiacos FC,Bayer Leverkusen,Stade Vélodrome,28,21
FC Shakhtar Donetsk,Besiktas JK,Stade Vélodrome,30,8
FC Spartak Moscow,Galatasaray SK,Tottenham Hotspur Stadium,30,8
Olympique Lyonnais,Everton FC,Tottenham Hotspur Stadium,30,12
