Team 1,Team 2,Venue,Day,Hour
FC Spartak Moscow,Bayer Leverkusen,Stade Vélodrome,1,8
Olympique Lyonnais,Galatasaray SK,Stade Vélodrome,1,20
Olympique Lyonnais,FC Shakhtar Donetsk,Stamford Bridge,3,8
Olympiacos FC,Galatasaray SK,Tottenham Hotspur Stadium,3,18
FC Spartak Moscow,Bayer Leverkusen,Tottenham Hotspur Stadium,4,8
Galatasaray SK,Besiktas JK,Tottenham Hotspur Stadium,5,8
Olympiacos FC,FC Spartak Moscow,Stade Vélodrome,6,8
Everton FC,Valencia CF,Stamford Bridge,6,13
FC Shakhtar Donetsk,Bayer Leverkusen,Tottenham Hotspur Stadium,7,8
Olympique Lyonnais,Olympiacos FC,Stamford Bridge,8,8
FC Spartak Moscow,West Ham United FC,Tottenham Hotspur Stadium,9,8
Galatasaray SK,Besiktas JK,Stade Vélodrome,11,8
Olympique Lyonnais,Bayer Leverkusen,Stade Vélodrome,11,20
Everton FC,Valencia CF,Tottenham Hotspur Stadium,12,8
FC Shakhtar Donetsk,FC Spartak Moscow,Stamford Bridge,12,15
Bayer Leverkusen,Besiktas JK,Stamford Bridge,13,8
West Ham United FC,Galatasaray SK,Tottenham Hotspur Stadium,14,8
FC Shakhtar Donetsk,Olympiacos FC,Stade Vélodrome,14,8
Everton FC,FC Spartak Moscow,Tottenham Hotspur Stadium,14,21
Valencia CF,Bayer Leverkusen,Stade Vélodrome,15,16
Olympiacos FC,Besiktas JK,Stade Vélodrome,16,8
FC Spartak Moscow,Galatasaray SK,Stamford Bridge,16,11
West Ham United FC,Bayer Leverkusen,Tottenham Hotspur Stadium,17,8
Olympique Lyonnais,Everton FC,Stamford Bridge,17,20
Valencia CF,Besiktas JK,Tottenham Hotspur Stadium,18,9
FC Shakhtar Donetsk,Bayer Leverkusen,Tottenham Hotspur Stadium,19,8
FC Spartak Moscow,Galatasaray SK,Stade Vélodrome,19,8
Olympique Lyonnais,Valencia CF,Stamford Bridge,20,8
West Ham United FC,Besiktas JK,Tottenham Hotspur Stadium,20,12
Olympiacos FC,FC Spartak Moscow,Stade Vélodrome,21,8
Everton FC,Galatasaray SK,Stade Vélodrome,21,21
West Ham United FC,Bayer Leverkusen,Stade Vélodrome,22,15
FC Shakhtar Donetsk,FC Spartak Moscow,Stamford Bridge,23,8
Valencia CF,Galatasaray SK,Tottenham Hotspur Stadium,24,8
Everton FC,West Ham United FC,Stade Vélodrome,24,10
FC Shakhtar Donetsk,Bayer Leverkusen,Stade Vélodrome,25,8
Olympiacos FC,FC Spartak Moscow,Stade Vélodrome,25,21
Olympique Lyonnais,Everton FC,Stamford Bridge,27,10
Olympiacos FC,Galatasaray SK,Tottenham Hotspur Stadium,27,12
FC Spartak Moscow,Valencia CF,Stamford Bridge,28,8
FC Shakhtar Donetsk,Bayer Leverkusen,Tottenham Hotspur Stadium,28,14
Olympique Lyonnais,Olympiacos FC,Stade Vélodrome,29,11
Galatasaray SK,Besiktas JK,Stade Vélodrome,30,8
Everton FC,FC Shakhtar Donetsk,Stamford Bridge,30,10
FC Spartak Moscow,Valencia CF,Tottenham Hotspur Stadium,30,12
