Team 1,Team 2,Venue,Day,Hour
FC Shakhtar Donetsk,Olympiacos FC,Stade Vélodrome,1,8
Bayer Leverkusen,Besiktas JK,Tottenham Hotspur Stadium,1,13
Olympique Lyonnais,Everton FC,Stade Vélodrome,2,10
Valencia CF,Galatasaray SK,Tottenham Hotspur Stadium,2,10
FC Shakhtar Donetsk,West Ham United FC,Tottenham Hotspur Stadium,3,12
FC Spartak Moscow,Besiktas JK,Tottenham Hotspur Stadium,3,19
Olympiacos FC,Valencia CF,Stamford Bridge,4,19
Olympique Lyonnais,FC Spartak Moscow,Stade Vélodrome,5,8
West Ham United FC,Besiktas JK,Stamford Bridge,5,20
FC Shakhtar Donetsk,Valencia CF,Stade Vélodrome,6,8
Everton FC,Galatasaray SK,Tottenham Hotspur Stadium,6,10
Olympiacos FC,Besiktas JK,Tottenham Hotspur Stadium,7,8
Olympique Lyonnais,Bayer Leverkusen,Stamford Bridge,7,20
FC Spartak Moscow,Galatasaray SK,Stade Vélodrome,8,8
Valencia CF,West Ham United FC,Tottenham Hotspur Stadium,8,10
FC Spartak Moscow,Bayer Leverkusen,Stade Vélodrome,10,12
FC Shakhtar Donetsk,Besiktas JK,Tottenham Hotspur Stadium,10,12
Olympique Lyonnais,FC Shakhtar Donetsk,Stamford Bridge,12,8
Everton FC,Bayer Leverkusen,Stamford Bridge,12,15
Olympiacos FC,West Ham United FC,Tottenham Hotspur Stadium,13,8
Valencia CF,Besiktas JK,Tottenham Hotspur Stadium,13,18
FC Shakhtar Donetsk,FC Spartak Moscow,Tottenham Hotspur Stadium,14,8
Olympique Lyonnais,Galatasaray SK,Stade Vélodrome,14,12
Everton FC,Olympiacos FC,Stamford Bridge,15,20
West Ham United FC,Bayer Leverkusen,Stade Vélodrome,15,21
Olympique Lyonnais,Valencia CF,Stamford Bridge,16,15
Galatasaray SK,Besiktas JK,Stamford Bridge,16,20
Olympiacos FC,FC Spartak Moscow,Tottenham Hotspur Stadium,17,10
Everton FC,West Ham United FC,Stamford Bridge,17,14
FC Shakhtar Donetsk,Galatasaray SK,Tottenham Hotspur Stadium,18,10
Valencia CF,Bayer Leverkusen,Stamford Bridge,18,20
Everton FC,Besiktas JK,Stade Vélodrome,19,10
FC Spartak Moscow,West Ham United FC,Stade Vélodrome,19,18
Olympiacos FC,Bayer Leverkusen,Stamford Bridge,22,10
Everton FC,FC Spartak Moscow,Tottenham Hotspur Stadium,22,21
West Ham United FC,Galatasaray SK,Stamford Bridge,23,10
Olympique Lyonnais,Besiktas JK,Tottenham Hotspur Stadium,23,14
Everton FC,FC Shakhtar Donetsk,Tottenham Hotspur Stadium,25,8
Galatasaray SK,Bayer Leverkusen,Stamford Bridge,25,12
FC Spartak Moscow,Valencia CF,Stamford Bridge,26,8
Olympique Lyonnais,Olympiacos FC,Stade Vélodrome,26,19
FC Shakhtar Donetsk,Bayer Leverkusen,Stamford Bridge,29,8
Olympique Lyonnais,West Ham United FC,Stade Vélodrome,29,8
Olympiacos FC,Galatasaray SK,Stamford Bridge,30,8
Everton FC,Valencia CF,Tottenham Hotspur Stadium,30,17
