Team 1,Team 2,Venue,Day,Hour
RB Leipzig,Valencia CF,Estadi Mallorca Son Moix,1,13
Olympiacos FC,Lazio SS,Estadi Mallorca Son Moix,1,15
Olympiacos FC,Valencia CF,Red Bull Arena,3,21
Real Madrid CF,FC Spartak Moscow,Estadio do Dragão,4,20
Besiktas JK,Arsenal FC,Estadio do Dragão,5,9
Arsenal FC,Inter Milan,Estadi Mallorca Son Moix,7,10
Inter Milan,Juventus Turin,Estadio do Dragão,8,16
Arsenal FC,RB Leipzig,Red Bull Arena,9,16
Olympiacos FC,RB Leipzig,Estadio do Dragão,10,15
Real Madrid CF,Juventus Turin,Red Bull Arena,10,15
Besiktas JK,Inter Milan,Estadi Mallorca Son Moix,10,21
FC Spartak Moscow,Valencia CF,Estadi Mallorca Son Moix,11,10
Lazio SS,Juventus Turin,Red Bull Arena,11,11
Besiktas JK,Real Madrid CF,Estadio do Dragão,12,20
Arsenal FC,Valencia CF,Red Bull Arena,13,19
Olympiacos FC,Inter Milan,Estadio do Dragão,14,13
Real Madrid CF,RB Leipzig,Estadio do Dragão,14,17
Juventus Turin,Valencia CF,Estadio do Dragão,15,13
Arsenal FC,FC Spartak Moscow,Red Bull Arena,15,15
Besiktas JK,Lazio SS,Estadi Mallorca Son Moix,16,18
Olympiacos FC,FC Spartak Moscow,Estadio do Dragão,17,10
Juventus Turin,RB Leipzig,Red Bull Arena,17,17
Arsenal FC,Real Madrid CF,Estadio do Dragão,18,15
Inter Milan,Valencia CF,Red Bull Arena,18,17
Lazio SS,RB Leipzig,Estadi Mallorca Son Moix,19,15
Besiktas JK,FC Spartak Moscow,Estadio do Dragão,19,16
Inter Milan,RB Leipzig,Estadio do Dragão,20,10
Besiktas JK,Juventus Turin,Red Bull Arena,20,19
Real Madrid CF,Inter Milan,Estadio do Dragão,20,21
Lazio SS,Valencia CF,Estadi Mallorca Son Moix,21,15
Olympiacos FC,Real Madrid CF,Red Bull Arena,22,19
Juventus Turin,FC Spartak Moscow,Red Bull Arena,23,19
Besiktas JK,RB Leipzig,Estadi Mallorca Son Moix,23,20
Besiktas JK,Valencia CF,Red Bull Arena,24,18
Lazio SS,Arsenal FC,Estadio do Dragão,25,13
Olympiacos FC,Besiktas JK,Red Bull Arena,25,17
Real Madrid CF,Valencia CF,Red Bull Arena,26,15
Inter Milan,FC Spartak Moscow,Estadi Mallorca Son Moix,26,20
Lazio SS,FC Spartak Moscow,Estadio do Dragão,27,13
Olympiacos FC,Arsenal FC,Red Bull Arena,27,19
Arsenal FC,Juventus Turin,Red Bull Arena,28,20
Lazio SS,Real Madrid CF,Estadio do Dragão,29,13
Olympiacos FC,Juventus Turin,Red Bull Arena,30,9
FC Spartak Moscow,RB Leipzig,Estadi Mallorca Son Moix,30,9
Lazio SS,Inter Milan,Estadio do Dragão,30,10
