Team 1,Team 2,Venue,Day,Hour
Besiktas JK,Lazio SS,Red Bull Arena,1,11
Real Madrid CF,Valencia CF,Estadio do Dragão,1,15
Olympiacos FC,FC Spartak Moscow,Estadi Mallorca Son Moix,2,9
Inter Milan,Juventus Turin,Estadio do Dragão,2,19
Arsenal FC,RB Leipzig,Red Bull Arena,3,10
Besiktas JK,Real Madrid CF,Estadio do Dragão,3,19
Olympiacos FC,Juventus Turin,Estadi Mallorca Son Moix,4,13
Inter Milan,FC Spartak Moscow,Red Bull Arena,4,13
Lazio SS,Inter Milan,Red Bull Arena,6,13
Arsenal FC,Real Madrid CF,Estadi Mallorca Son Moix,6,20
FC Spartak Moscow,Valencia CF,Red Bull Arena,7,15
Olympiacos FC,RB Leipzig,Estadi Mallorca Son Moix,7,19
Lazio SS,FC Spartak Moscow,Red Bull Arena,9,9
Arsenal FC,Juventus Turin,Estadi Mallorca Son Moix,9,18
Besiktas JK,Valencia CF,Estadi Mallorca Son Moix,10,21
FC Spartak Moscow,RB Leipzig,Red Bull Arena,11,14
Lazio SS,Real Madrid CF,Red Bull Arena,11,18
Besiktas JK,Inter Milan,Red Bull Arena,12,12
Olympiacos FC,Arsenal FC,Estadio do Dragão,12,13
Lazio SS,Arsenal FC,Red Bull Arena,14,10
Olympiacos FC,Inter Milan,Estadi Mallorca Son Moix,14,17
Arsenal FC,Inter Milan,Estadi Mallorca Son Moix,16,13
Juventus Turin,Valencia CF,Red Bull Arena,16,21
Olympiacos FC,Besiktas JK,Estadio do Dragão,17,12
Real Madrid CF,RB Leipzig,Estadi Mallorca Son Moix,17,13
Arsenal FC,Valencia CF,Red Bull Arena,18,20
Olympiacos FC,Lazio SS,Red Bull Arena,19,13
Juventus Turin,FC Spartak Moscow,Estadi Mallorca Son Moix,19,13
Lazio SS,Valencia CF,Estadio do Dragão,21,14
Inter Milan,RB Leipzig,Red Bull Arena,21,20
Real Madrid CF,Juventus Turin,Estadio do Dragão,22,12
Besiktas JK,Arsenal FC,Red Bull Arena,22,16
Lazio SS,RB Leipzig,Estadi Mallorca Son Moix,23,14
Inter Milan,Valencia CF,Estadio do Dragão,23,18
Real Madrid CF,FC Spartak Moscow,Estadio do Dragão,24,14
Besiktas JK,Juventus Turin,Estadio do Dragão,24,20
Besiktas JK,FC Spartak Moscow,Estadio do Dragão,26,14
Juventus Turin,RB Leipzig,Estadi Mallorca Son Moix,26,20
Olympiacos FC,Real Madrid CF,Estadio do Dragão,27,14
RB Leipzig,Valencia CF,Estadi Mallorca Son Moix,28,13
Lazio SS,Juventus Turin,Estadi Mallorca Son Moix,28,18
Real Madrid CF,Inter Milan,Estadio do Dragão,29,10
Arsenal FC,FC Spartak Moscow,Red Bull Arena,29,17
Besiktas JK,RB Leipzig,Estadio do Dragão,30,10
Olympiacos FC,Valencia CF,Estadi Mallorca Son Moix,30,15
